video_id,title,description,title_description,label1,label2
LASlRIyKH6M,"[한글/ENG] Biggest Streamers Go Outside in Korea, Seoul (ft. @Thebausffs , @midbeast9495 & @TFBlade)","FULL VOD HERE: https://www.twitch.tv/cookielolxx
(@YamatosDeath1 & @KatEvolved are also in the video but not enough space in the title, SORRY!)

I'm out with @Thebausffs @midbeast9495 @TFBlade @YamatosDeath1 @KatEvolved in Seoul and we're having an amazing time! Enjoy! 

0:00 Introduction 
0:52 Midbeast & TFBlade arrives
2:52 thebausffs arrives
3:08 YamatosDeath 1 & KatEvolved arrives
3:46 Cookie vs KatEvolved in Smash 
6:10 TFBlade vs thebausffs in Smash
8:30 Heading out to Itaewon




Follow me on my socials:
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

Video made by Forsakayn & Fifi 
Video Editor: https://twitter.com/Forsakayn
Thumbnail Artist: https://twitter.com/glo_fifi

#tfblade #midbeast #thebausffs","[한글/ENG] Biggest Streamers Go Outside in Korea, Seoul (ft. @Thebausffs , @midbeast9495 & @TFBlade) FULL VOD HERE: https://www.twitch.tv/cookielolxx
(@YamatosDeath1 & @KatEvolved are also in the video but not enough space in the title, SORRY!)

I'm out with @Thebausffs @midbeast9495 @TFBlade @YamatosDeath1 @KatEvolved in Seoul and we're having an amazing time! Enjoy! 

0:00 Introduction 
0:52 Midbeast & TFBlade arrives
2:52 thebausffs arrives
3:08 YamatosDeath 1 & KatEvolved arrives
3:46 Cookie vs KatEvolved in Smash 
6:10 TFBlade vs thebausffs in Smash
8:30 Heading out to Itaewon




Follow me on my socials:
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

Video made by Forsakayn & Fifi 
Video Editor: https://twitter.com/Forsakayn
Thumbnail Artist: https://twitter.com/glo_fifi

#tfblade #midbeast #thebausffs",yes,"Thebausffs, midbeast9495, TFBlade, YamatosDeath1, KatEvolved"
_pO_DcAWS9A,CLASH WITH BOYS @Nemesis_lol @midbeast9495 @Noway4u @TolkinLoL Part 1,"↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","CLASH WITH BOYS @Nemesis_lol @midbeast9495 @Noway4u @TolkinLoL Part 1 ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",yes,"Nemesis_lol, midbeast9495, Noway4u, TolkinLoL"
7zegRmCHgdc,"BBQ IRL STREAM ft. Midbeast, Humzh, Vakin","↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","BBQ IRL STREAM ft. Midbeast, Humzh, Vakin ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",yes,"Midbeast, Humzh, Vakin"
teHHKg-CqTo,NEW YEAR DUOS WITH @YamatosDeath1,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

Full New Year Stream ➡ https://www.twitch.tv/videos/1249142413

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Intro song ""8 Bit Adventure"" By HeatleyBros ➡https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","NEW YEAR DUOS WITH @YamatosDeath1 Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

Full New Year Stream ➡ https://www.twitch.tv/videos/1249142413

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Intro song ""8 Bit Adventure"" By HeatleyBros ➡https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",yes,YamatosDeath1
O0eCR1p7r84,I MADE MY DUO SCREAM OF FEAR (sorry @LOUDDonArts)​,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

Don Arts' Twitter ➡ https://twitter.com/donarts
Don Arts' Instagram ➡ https://www.instagram.com/donarts_lol/
Don Arts' Twitch ➡ https://www.twitch.tv/don_arts

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=b_YrOccEwu4
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","I MADE MY DUO SCREAM OF FEAR (sorry @LOUDDonArts)​ Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

Don Arts' Twitter ➡ https://twitter.com/donarts
Don Arts' Instagram ➡ https://www.instagram.com/donarts_lol/
Don Arts' Twitch ➡ https://www.twitch.tv/don_arts

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=b_YrOccEwu4
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",yes,LOUDDonArts
L9WZB26LIIw,6'5 AP CORKI DOMINATION? - Meet HULKSMASH1337,"his stream - https://www.twitch.tv/loltyler1

Drop a like if you enjoyed the video and make sure to subscribe for more content :) 
⇩ OPEN ME ⇩

⇨ ALL MY SOCIALS ⇦
https://linktr.ee/Midbeast

For Business Inquiries email midbeast@teamliquid.net

#Midbeast #LeagueOfLegends #Tyler1","6'5 AP CORKI DOMINATION? - Meet HULKSMASH1337 his stream - https://www.twitch.tv/loltyler1

Drop a like if you enjoyed the video and make sure to subscribe for more content :) 
⇩ OPEN ME ⇩

⇨ ALL MY SOCIALS ⇦
https://linktr.ee/Midbeast

For Business Inquiries email midbeast@teamliquid.net

#Midbeast #LeagueOfLegends #Tyler1",yes,HULKSMASH1337
kGeM-AtDHz4,league of LEGENDS Ft. Yassuo  @Sanchovies,"► Follow on Social Media:
• http://www.twitch.tv/TFBlade
• https://www.instagram.com/tfbladelol
• https://twitter.com/tfblade
• https://discord.gg/WKcVU3M

Check out the VOD channel for more gameplay focused videos:
https://www.youtube.com/channel/UCZVVExSx9gTIfCLsg4TUH5Q/

► Made by ( sanedit ) @Space Toast Studios  :
🐦https://twitter.com/SpaceToastSTU

#TFBlade #LeagueOfLegends #jax #challenger #tfblade","league of LEGENDS Ft. Yassuo  @Sanchovies ► Follow on Social Media:
• http://www.twitch.tv/TFBlade
• https://www.instagram.com/tfbladelol
• https://twitter.com/tfblade
• https://discord.gg/WKcVU3M

Check out the VOD channel for more gameplay focused videos:
https://www.youtube.com/channel/UCZVVExSx9gTIfCLsg4TUH5Q/

► Made by ( sanedit ) @Space Toast Studios  :
🐦https://twitter.com/SpaceToastSTU

#TFBlade #LeagueOfLegends #jax #challenger #tfblade",yes,Sanchovies
xKeReQ_nfBI,KR SOLO QUEUE ADVENTURE EP.12 | Midbeast vs Yamato,"Buy the Highest Quality smurf accounts - 15% off with my code ""YAMATO"" http://turbosmurfs.gg/partner/yamato","KR SOLO QUEUE ADVENTURE EP.12 | Midbeast vs Yamato Buy the Highest Quality smurf accounts - 15% off with my code ""YAMATO"" http://turbosmurfs.gg/partner/yamato",yes,"Midbeast, Yamato"
hGFjUndb0t4,FIRST TIME RENGAR ft. Midbeast,"Buy the Highest Quality smurf accounts - 15% off with my code ""YAMATO"" http://turbosmurfs.gg/partner/yamato","FIRST TIME RENGAR ft. Midbeast Buy the Highest Quality smurf accounts - 15% off with my code ""YAMATO"" http://turbosmurfs.gg/partner/yamato",yes,Midbeast
oB75q0Vuz9Q,SO I FOUND THEBAUSFFS FOR MY MASTERS PROMOS... (Korea Bootcamp Day 7),"👾 Watch me LIVE on Twitch: https://www.twitch.tv/katevolved
🚨 2nd Channel (more league): https://www.youtube.com/channel/UCduCPIWb2ZEF5hvaVcoVIWQ?sub_confirmation=1
⇩ OPEN ME ⇩
If you enjoyed the video please hit 👍 LIKE and ⭐ SUBSCRIBE! Thanks for your support. 💜

➡️ Business Inquiries: contact@katevolved.gg

Become a Youtube Member for Extra Perks! https://www.youtube.com/channel/UC4XryR0fHLOlwCO4KLvn-ow/join

Follow my Socials:
► Twitch: https://www.twitch.tv/katevolved
► Twitter:  https://www.twitter.com/katevolved
► Instagram: https://www.instagram.com/jacksondohan
► Discord: https://discord.gg/Z8W53Ha
► Facebook: https://www.facebook.com/KatEvolvedlol
► Tiktok: https://www.tiktok.com/@katevolved
► Patreon: https://patreon.com/katevolved

 ♪ Intro Song: Undertale OST - Start Menu
 ♪ Outro Song: Mighty Switch Force 2 OST - Track 01 - Title

#KatEvolved #LeagueOfLegends #Katarina 

Pentakill, Katarina, KatEvolved, Penta, Katarina Season 12, katarina runes, katarina guide, challenger katarina, best katarina, lol montage, lol highlights, league of legends montage","SO I FOUND THEBAUSFFS FOR MY MASTERS PROMOS... (Korea Bootcamp Day 7) 👾 Watch me LIVE on Twitch: https://www.twitch.tv/katevolved
🚨 2nd Channel (more league): https://www.youtube.com/channel/UCduCPIWb2ZEF5hvaVcoVIWQ?sub_confirmation=1
⇩ OPEN ME ⇩
If you enjoyed the video please hit 👍 LIKE and ⭐ SUBSCRIBE! Thanks for your support. 💜

➡️ Business Inquiries: contact@katevolved.gg

Become a Youtube Member for Extra Perks! https://www.youtube.com/channel/UC4XryR0fHLOlwCO4KLvn-ow/join

Follow my Socials:
► Twitch: https://www.twitch.tv/katevolved
► Twitter:  https://www.twitter.com/katevolved
► Instagram: https://www.instagram.com/jacksondohan
► Discord: https://discord.gg/Z8W53Ha
► Facebook: https://www.facebook.com/KatEvolvedlol
► Tiktok: https://www.tiktok.com/@katevolved
► Patreon: https://patreon.com/katevolved

 ♪ Intro Song: Undertale OST - Start Menu
 ♪ Outro Song: Mighty Switch Force 2 OST - Track 01 - Title

#KatEvolved #LeagueOfLegends #Katarina 

Pentakill, Katarina, KatEvolved, Penta, Katarina Season 12, katarina runes, katarina guide, challenger katarina, best katarina, lol montage, lol highlights, league of legends montage",yes,THEBAUSFFS
