video_id,title,description,title_description,label1
QQkHoFHJ1cE,WEAPONS HOT,"↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","WEAPONS HOT ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",no
vApzCNglBZU,The Best EMOTE League ever Made,"↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","The Best EMOTE League ever Made ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",no
danIoysgijw,Getting The MULTISEASONAL Rank 1 in my Game,"↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","Getting The MULTISEASONAL Rank 1 in my Game ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",no
Hi8VpNX55EI,Every Tristanas Wet Dream,"↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","Every Tristanas Wet Dream ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",no
P7vKE_lBIl4,Not Even Caps Could Save This Game,"↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch","Not Even Caps Could Save This Game ↓ Expand Me ↓ 😚
Thanks for watching! 😊 
Watch me Live EVERYDAY here: https://www.twitch.tv/cookielolxx
Subscribe to never miss new videos! : https://bit.ly/37pAHRb
Click the bell icon 🔔 to get notifications when a video is up! 

Follow me on my socials:
•  Instagram: https://www.instagram.com/cookielolx/
•  Twitter: https://twitter.com/CookieLolxx
•  TikTok: https://www.tiktok.com/@cookielolxx

#cookielol #leagueoflegends #Twitch",no
6vXeNpBPo64,RIOT IS RESURRECTING LEAGUE OF LEGENDS!!,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","RIOT IS RESURRECTING LEAGUE OF LEGENDS!! Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",no
RkFE40sJKfw,SMURFING WITH INFINITY EDGE SION IN CHALLENGER!,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31
I'm currently on vacation, sorry if the videos are a bit delayed from the stream! -Kipro

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","SMURFING WITH INFINITY EDGE SION IN CHALLENGER! Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31
I'm currently on vacation, sorry if the videos are a bit delayed from the stream! -Kipro

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",no
AouuAX-za3w,I'M LEARNING HOW TO FLAME 🤬,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","I'M LEARNING HOW TO FLAME 🤬 Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",no
zoqpDZ3L72Y,THIS NEW PATCH IS AWESOME!,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","THIS NEW PATCH IS AWESOME! Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=0tQi_d_Pe38
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",no
CB6izuDELQA,HOW MUCH GOLD DO I ACTUALLY GIVE?,"Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=SJqTlN30DfE
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang","HOW MUCH GOLD DO I ACTUALLY GIVE? Make sure to hit the like button and subscribe to my channel!

↓ More Info Below ↓ 

For business inquiries ➡ thebausffs@evolved.gg

•Twitch ➡ http://www.twitch.tv/thebausffs
•Twitter ➡ http://www.twitter.com/thebausffs
•Discord ➡ https://www.discord.gg/3fR2sx8

YTB Management/Edit/Thumbnail by Kipro ➡ https://twitter.com/kipro31

Pre-Intro song ➡ https://www.youtube.com/watch?v=SJqTlN30DfE
Intro song ""8 Bit Adventure"" By HeatleyBros ➡ https://www.youtube.com/watch?v=Wsw-86zjb8I

Outro song ➡ https://www.youtube.com/watch?v=RXLzvo6kvVQ
LAKEY INSPIRED ➡ https://www.youtube.com/channel/UCOmy8wuTpC95lefU5d1dt2Q

#Thebausffs #ShillingGang",no
